tweet,label
"RT @leonamber: #من_دمشق_هنا_صنعاء#مندوب_سوريالدى الأمم المتحدة كفوا دموع التماسيح ع حلبوابكوا بدموع حقيقية ع ضحايا #صنعاء http://t.co/ZUvqJW36RQ
",negative
"RT @mhayes: استعراض لتطبيق الرسام الجديد لنظام ويندوز 10تقدر تسوي صور ثلاثية الابعاد فيه وبسهولة بعد 👌🏼 http://t.co/U6SGinaCu2
",neutral
"RT @erinhampton: الناصح الأمين ساحق الجماجم مشوه الوجوه الذي يرى ما تفعله داعش صناعة للحياة يدعو السعودية للتحالف مع هؤلاء ↓ http://t.co/OnYyGIApE8
",negative
"قالها جستن بيبر ؛ انا مو ولهان انا انا دنيا من الوله 🌚👌🏼
",positive
"خارجية بشار الأسد تحتفل بمرور عام على بدء قتل الاحتلال الروسي للسوريين: قالت خارجية بشار الأسد، إن مساه... http://t.co/LsoC3tFI7H
",negative
"RT @mmendez: ولا زال @mmendez يلف ويدور لتبرئة #الإخوان من #الإرهاب، ولا زال يستغل الفرص لتقسيم المجتمع السعودي إلى أحزاب ويلمح للملكي…
",negative
"#افضل_طقم_لروجر_فيدرر                                  جميع الاطقم على المايسترو فخامه ولاكن ناخذ بعضا منها http://t.co/1qOZ6cuVBN
",positive
"RT @stephenjohnson: #كوريا تستحق الإحترام.. #كوريا تستحق الإسلام.. فمن لها يا كرام؟! http://t.co/YOM0yXjJGl
",positive
"#افضل_مباراة_تنس_شاهدتها اي مباراة يلعبها فيدرر هي الأفضل 💙 بس اكيد مباراة 2008 فيدرر ونادال
",positive
"RT @cobbjason: داعش تفرج عن  49 تركيا من القنصلية التركية في الموصل في ٢٠١٤ وتركيا تقول انها تحارب داعش؟  صفقات وراء الكواليس#erdogan_is_i…
",negative
"@johnsmith جربتي أمازون؟
",neutral
"@mosssteven بصراحة سلسلة عظيمة مثل هاري بوتر حرام تتابعها بغير البلوراي
",positive
"@nrojas مايا دياب بهديك اغنية الفنان الجزائري دي جي سنايك و جستن بيبر و عليك و علي حلاوتك http://t.co/1fm8uJlcCB
",positive
"""أبل"" تكسب معركة قضائية ضد ""سامسونغ""  http://t.co/MfHI58Q9hR via @sgreen
",positive
"RT @rcollins: محنكين بيونس ايرس ان فازت الارجنتين بعد شوي قالوا احنا افضل بدون الفقاعه وان تعثرت قالوا ميسي هرب من المسئوليهبكل الحالتي…
",neutral
"@matthew11 مبروك عليك ويندوز 10 .. ربنا يخلهوللللللك
",positive
